LLAVEHOG,ORDEN,DIRECTORIO,NoHijos,NvEducacion,TipoContrato,Salud,Agua_Potable,Estrato,Satisfaccion
60000151,7,6000015,2,0,0,1,6,3,8
60000161,1,6000016,3,3,2,1,6,3,10
60000161,2,6000016,3,5,0,1,6,3,10
60000161,3,6000016,1,1,0,1,6,3,6
60000171,1,6000017,3,5,0,1,6,3,8
60000191,1,6000019,2,7,2,1,6,1,10
60000191,2,6000019,1,5,1,1,6,1,10
60000191,3,6000019,1,0,0,1,6,1,0
60000191,4,6000019,1,0,0,1,6,1,0
60000191,5,6000019,2,3,0,1,6,1,10
60000191,6,6000019,1,0,0,1,6,1,10
60000201,1,6000020,2,13,1,1,6,1,10
60000201,2,6000020,2,9,0,1,6,1,10
60000211,1,6000021,2,10,0,1,6,2,9
60000221,1,6000022,3,3,0,1,4,1,10
60000221,2,6000022,3,1,0,1,4,1,10
60000231,1,6000023,3,3,2,1,2,1,7
60000241,1,6000024,3,5,2,1,2,1,9
60000251,1,6000025,1,3,2,1,1,1,8
60000251,2,6000025,2,1,0,1,1,1,9
60000251,3,6000025,1,0,0,1,1,1,0
60000251,4,6000025,1,1,2,1,1,1,9
60000251,5,6000025,2,3,0,1,1,1,7
60000251,6,6000025,3,1,0,1,1,1,9
60000261,1,6000026,2,4,0,1,2,1,0
60000261,2,6000026,2,7,0,1,2,1,6
60000261,3,6000026,1,0,0,1,2,1,0
60000261,4,6000026,1,0,0,1,2,1,0
60000271,1,6000027,2,4,0,1,1,1,8
60000271,2,6000027,2,3,2,1,1,1,6
60000271,3,6000027,1,0,0,1,1,1,7
60000271,4,6000027,1,0,0,1,1,1,0
60000271,5,6000027,2,1,2,1,1,1,7
60000272,1,6000027,2,5,0,2,1,1,9
60000272,2,6000027,2,5,0,1,1,1,9
60000272,3,6000027,1,0,0,1,1,1,0
60000272,4,6000027,1,0,0,1,1,1,0
60000281,1,6000028,3,1,0,1,1,1,7
60000291,1,6000029,2,3,2,1,1,1,7
60000291,2,6000029,2,5,2,1,1,1,9
60000291,3,6000029,1,1,0,1,1,1,0
60000301,1,6000030,2,1,2,1,1,1,5
60000301,2,6000030,2,3,2,1,1,1,7
60000301,3,6000030,1,0,0,1,1,1,9
60000301,4,6000030,1,4,0,1,1,1,8
60000301,5,6000030,1,5,0,1,1,1,9
60000301,6,6000030,1,0,0,1,1,1,0
60000301,7,6000030,2,3,2,1,1,1,8
60000301,8,6000030,2,0,0,1,1,1,0
60000311,1,6000031,2,4,2,1,2,1,1
60000311,2,6000031,2,4,0,1,2,1,3
60000311,3,6000031,2,4,2,1,2,1,4
60000311,4,6000031,1,0,0,1,2,1,8
60000321,1,6000032,2,9,1,1,6,1,8
60000321,2,6000032,2,0,0,1,6,1,10
60000321,3,6000032,2,0,0,1,6,1,0
60000331,1,6000033,2,13,0,1,2,2,10
60000331,2,6000033,2,0,0,1,2,2,4
60000331,3,6000033,1,0,0,1,2,2,0
60000341,1,6000034,1,11,0,1,4,2,9
60000341,2,6000034,1,0,0,1,4,2,9
60000341,3,6000034,3,3,0,1,4,2,8
60000351,1,6000035,3,11,0,1,1,2,10
60000351,2,6000035,3,11,2,1,1,2,10
60000361,1,6000036,2,4,0,1,1,2,7
60000361,2,6000036,1,0,0,1,1,2,0
60000361,3,6000036,1,5,0,1,1,2,8
60000361,4,6000036,2,4,0,1,1,2,9
60000361,5,6000036,1,4,0,1,1,2,9
60000361,6,6000036,1,0,0,1,1,2,0
60000361,7,6000036,1,0,0,1,1,2,0
60000371,1,6000037,2,5,0,1,1,2,5
60000371,2,6000037,1,0,0,1,1,2,0
60000371,3,6000037,1,0,0,1,1,2,0
60000391,1,6000039,3,7,0,1,1,2,7
60000391,2,6000039,2,5,0,1,1,2,8
60000391,3,6000039,1,0,0,1,1,2,0
60000391,4,6000039,1,0,0,1,1,2,0
60000421,1,6000042,2,3,2,2,1,2,7
60000421,2,6000042,2,4,2,2,1,2,8
60000421,3,6000042,1,8,2,1,1,2,8
60000421,4,6000042,1,0,0,2,1,2,10
60000431,1,6000043,3,3,2,1,2,2,9
60000431,2,6000043,1,0,0,1,2,2,10
60000431,3,6000043,2,0,0,1,2,2,9
60000431,4,6000043,1,0,0,1,2,2,0
60000441,1,6000044,2,13,0,1,4,2,10
60000441,2,6000044,2,5,2,1,4,2,10
60000441,3,6000044,1,0,0,1,4,2,0
60000441,4,6000044,1,0,0,1,4,2,0
60000451,1,6000045,3,3,2,2,1,2,6
60000451,2,6000045,3,3,2,1,1,2,0
60000461,1,6000046,2,7,0,1,1,2,9
60000461,2,6000046,2,8,0,1,1,2,8
60000461,3,6000046,1,0,0,1,1,2,0
60000461,4,6000046,1,0,0,1,1,2,0
60000471,1,6000047,2,4,0,1,1,2,10
60000471,2,6000047,2,3,0,1,1,2,10
60000471,3,6000047,1,0,0,1,1,2,10
60000471,4,6000047,2,0,0,1,1,2,10
60000471,5,6000047,1,0,0,1,1,2,0
60000471,6,6000047,1,0,0,1,1,2,10
60000471,7,6000047,2,0,0,1,1,2,8
60000471,8,6000047,1,0,0,1,1,2,0
60000481,1,6000048,2,3,0,1,1,2,9
60000481,2,6000048,1,5,0,1,1,2,6
60000481,3,6000048,2,5,0,1,1,2,10
60000481,4,6000048,1,0,0,1,1,2,0
60000482,1,6000048,2,5,0,1,1,2,9
60000482,2,6000048,2,10,0,1,1,2,6
60000482,3,6000048,1,0,0,1,1,2,0
60000491,1,6000049,2,3,0,1,4,1,10
60000491,2,6000049,3,3,0,1,4,1,9
60000501,1,6000050,2,0,1,1,1,1,10
60000511,1,6000051,2,4,2,1,1,1,7
60000511,2,6000051,2,7,0,1,1,1,8
60000511,3,6000051,1,5,0,1,1,1,8
60000511,4,6000051,2,0,0,1,1,1,0
60000521,1,6000052,3,5,0,1,1,1,10
60000521,2,6000052,1,0,0,1,1,1,9
60000521,3,6000052,1,0,0,1,1,1,0
60000531,1,6000053,2,3,0,2,2,1,8
60000531,2,6000053,1,0,0,2,2,1,0
60000541,1,6000054,2,5,0,1,1,2,3
60000541,2,6000054,1,7,2,1,1,2,10
60000541,3,6000054,1,0,0,1,1,2,0
60000541,4,6000054,3,3,0,1,1,2,10
60000551,1,6000055,2,7,0,1,1,1,10
60000551,2,6000055,2,5,0,1,1,1,0
60000561,1,6000056,3,5,0,1,2,3,8
60000561,2,6000056,1,0,0,1,2,3,7
60000561,3,6000056,3,5,0,1,2,3,8
60000561,4,6000056,3,5,0,1,2,3,7
60000561,5,6000056,1,0,2,1,2,3,7
60000561,6,6000056,1,0,0,1,2,3,7
60000571,1,6000057,3,3,0,1,1,3,10
60000571,2,6000057,3,3,0,1,1,3,5
60000571,3,6000057,3,1,0,1,1,3,6
60000581,1,6000058,3,4,0,1,4,2,7
60000581,2,6000058,1,5,0,1,4,2,7
60000581,3,6000058,2,5,2,1,4,2,8
60000581,4,6000058,1,0,0,1,4,2,6
60000581,5,6000058,1,0,0,1,4,2,5
60000581,6,6000058,2,10,0,2,4,2,5
60000591,1,6000059,3,5,0,1,1,3,10
60000591,2,6000059,3,5,0,1,1,3,5
60000591,3,6000059,1,0,0,1,1,3,10
60000591,4,6000059,1,0,0,1,1,3,0
60000591,5,6000059,2,0,0,1,1,3,0
60000601,1,6000060,3,3,0,1,2,2,10
60000611,1,6000061,2,5,2,2,6,2,6
60000611,2,6000061,2,5,2,2,6,2,10
60000611,3,6000061,1,1,0,2,6,2,0
60000611,4,6000061,1,0,0,2,6,2,0
60000621,1,6000062,2,5,0,1,1,1,8
60000621,2,6000062,1,0,0,1,1,1,0
60000631,1,6000063,2,7,0,2,1,2,8
60000631,2,6000063,2,5,0,1,1,2,7
60000631,3,6000063,1,0,0,1,1,2,0
60000641,1,6000064,3,3,2,1,4,1,7
60000641,2,6000064,2,4,0,1,4,1,8
60000641,3,6000064,1,0,0,1,4,1,7
60000641,4,6000064,1,0,0,1,4,1,0
60000651,1,6000065,2,7,0,1,1,2,6
60000651,2,6000065,2,10,0,1,1,2,8
60000651,3,6000065,1,0,0,1,1,2,0
60000651,4,6000065,1,0,0,1,1,2,0
60000661,1,6000066,3,3,0,1,1,2,10
60000661,2,6000066,1,11,0,1,1,2,10
60000661,3,6000066,2,0,0,1,1,2,10
60000671,1,6000067,2,5,0,1,1,2,5
60000671,2,6000067,2,3,2,1,1,2,8
60000681,1,6000068,2,3,0,1,2,2,10
60000681,2,6000068,3,3,0,1,2,2,10
60000691,1,6000069,3,3,0,1,1,2,10
60000691,2,6000069,2,3,0,1,1,2,10
60000691,3,6000069,1,0,0,1,1,2,10
60000691,4,6000069,1,0,0,1,1,2,0
60000691,5,6000069,1,0,0,1,1,2,0
60000701,1,6000070,2,4,0,2,1,2,10
60000701,2,6000070,2,4,0,2,1,2,10
60000701,3,6000070,2,5,0,2,1,2,10
60000711,1,6000071,3,1,0,1,4,1,5
60000711,2,6000071,1,0,0,1,4,1,0
60000711,3,6000071,1,4,0,1,4,1,10
60000711,4,6000071,1,0,0,1,4,1,0
60000711,5,6000071,1,0,0,1,4,1,0
60000711,6,6000071,1,0,0,1,4,1,0
60000711,7,6000071,1,5,0,1,4,1,10
60000711,8,6000071,1,0,0,1,4,1,0
60000721,1,6000072,3,1,0,1,2,1,5
60000731,1,6000073,2,5,0,1,6,1,10
60000731,2,6000073,1,11,1,1,6,1,10
60000741,1,6000074,2,7,0,1,1,1,10
60000741,2,6000074,1,0,0,1,1,1,0
60000741,3,6000074,1,0,0,1,1,1,0
60000751,1,6000075,3,4,0,1,2,1,0
60000751,2,6000075,2,5,0,1,2,1,10
60000751,3,6000075,1,5,0,2,2,1,10
60000751,4,6000075,1,0,0,1,2,1,0
60000761,1,6000076,2,5,1,1,2,1,10
60000771,1,6000077,2,5,2,1,1,1,10
60000771,2,6000077,3,3,0,1,1,1,10
60000771,3,6000077,1,0,0,1,1,1,0
60000771,4,6000077,1,0,0,1,1,1,0
60000791,1,6000079,3,3,0,1,2,1,10
60000801,1,6000080,2,11,2,2,1,1,10
60000801,2,6000080,2,5,0,2,1,1,10
60000821,1,6000082,3,4,0,1,1,1,10
60000821,2,6000082,2,4,0,1,1,1,10
60000821,3,6000082,1,0,0,1,1,1,0
60000831,1,6000083,3,4,0,1,1,1,8
60000831,2,6000083,2,7,1,1,1,1,8
60000841,1,6000084,2,11,1,1,1,1,10
60000851,1,6000085,2,7,2,1,6,2,10
60000851,2,6000085,2,0,0,1,6,2,10
60000851,3,6000085,2,0,0,1,6,2,10
60000861,1,6000086,2,0,2,1,2,2,10
60000861,2,6000086,2,7,0,1,2,2,10
60000861,3,6000086,1,0,0,1,2,2,0
60000871,1,6000087,2,11,0,1,1,2,10
60000871,2,6000087,3,5,0,1,1,2,10
60000871,3,6000087,1,0,0,1,1,2,10
60000881,1,6000088,3,5,0,1,1,2,10
60000881,2,6000088,1,0,0,1,1,2,10
60000881,3,6000088,1,0,0,1,1,2,10
60000891,1,6000089,2,11,0,1,1,3,10
60000891,2,6000089,3,7,0,1,1,3,10
60000891,3,6000089,2,0,0,1,1,3,0
60000901,1,6000090,2,4,0,1,2,2,10
60000901,2,6000090,1,5,0,1,2,2,10
60000901,3,6000090,1,0,0,1,2,2,0
60000911,1,6000091,1,10,0,1,4,2,8
60000911,2,6000091,2,5,0,1,4,2,5
60000911,3,6000091,1,5,0,1,4,2,8
60000911,4,6000091,1,0,0,1,4,2,0
60000911,5,6000091,1,0,0,1,4,2,0
60000911,6,6000091,1,0,0,1,4,2,0
60000921,1,6000092,3,3,0,1,2,1,9
60000921,2,6000092,2,3,2,1,2,1,9
60000931,1,6000093,3,4,0,1,2,2,10
60000931,2,6000093,2,5,0,1,2,2,10
60000941,1,6000094,3,1,0,1,1,2,9
60000951,1,6000095,3,2,0,1,2,2,8
60000961,1,6000096,3,7,0,1,2,3,8
60000961,2,6000096,3,3,0,1,2,3,10
60000961,3,6000096,2,0,0,1,2,3,0
60000971,1,6000097,3,5,0,1,4,3,7
60000971,2,6000097,1,7,2,2,4,3,6
60000971,3,6000097,1,0,0,1,4,3,8
60000981,1,6000098,2,13,0,1,6,4,10
60000981,2,6000098,3,13,0,1,6,4,10
60000981,3,6000098,1,0,0,1,6,4,0
60000991,1,6000099,3,4,0,1,1,2,9
60000991,2,6000099,3,4,0,1,1,2,9
60000991,3,6000099,1,0,0,1,1,2,0
60000991,4,6000099,3,5,2,1,1,2,7
60000991,5,6000099,1,5,0,1,1,2,9
60000991,6,6000099,1,0,0,1,1,2,0
60001001,1,6000100,3,5,0,1,2,2,10
60001001,2,6000100,2,11,0,1,2,2,8
60001001,3,6000100,1,0,0,1,2,2,0
60001011,1,6000101,2,3,2,1,2,2,8
60001011,2,6000101,2,0,0,1,2,2,0
60001021,1,6000102,3,3,2,1,2,2,9
60001031,1,6000103,2,5,0,1,2,2,6
60001031,2,6000103,1,0,0,1,2,2,6
60001031,3,6000103,1,0,0,1,2,2,0
60001031,4,6000103,1,0,0,1,2,2,0
60001031,5,6000103,2,5,0,1,2,2,3
60001031,6,6000103,2,7,0,1,2,2,9
60001041,1,6000104,3,4,0,2,4,2,10
60001041,2,6000104,1,7,0,2,4,2,10
60001041,3,6000104,3,3,0,1,4,2,7
60001051,1,6000105,2,3,0,1,2,2,10
60001061,1,6000106,3,3,2,1,2,1,7
60001061,2,6000106,2,3,0,1,2,1,7
60001061,3,6000106,1,3,2,2,2,1,7
60001061,4,6000106,1,5,2,1,2,1,7
60001061,5,6000106,1,0,0,1,2,1,0
60001061,6,6000106,1,5,0,1,2,1,10
60001061,7,6000106,1,0,0,1,2,1,0
60001071,1,6000107,3,3,2,1,2,1,5
60001071,2,6000107,3,3,0,1,2,1,5
60001081,1,6000108,2,5,0,1,2,2,10
60001081,2,6000108,2,9,0,1,2,2,10
60001081,3,6000108,1,0,0,1,2,2,10
60001081,4,6000108,1,0,0,1,2,2,0
60001091,1,6000109,3,3,0,1,4,1,10
60001091,2,6000109,3,5,0,1,4,1,8
60001091,3,6000109,1,5,0,1,4,1,9
60001091,4,6000109,2,5,0,1,4,1,8
60001091,5,6000109,1,1,0,1,4,1,0
60001091,6,6000109,1,1,0,1,4,1,0
60001101,1,6000110,2,5,0,1,1,1,7
60001101,2,6000110,1,0,0,1,1,1,9
60001101,3,6000110,1,0,0,1,1,1,0
60001111,1,6000111,3,3,0,1,4,1,10
60001111,2,6000111,2,3,2,1,4,1,10
60001111,3,6000111,1,4,0,1,4,1,10
60001121,1,6000112,2,5,0,1,2,1,10
60001121,2,6000112,1,5,0,1,2,1,10
60001121,3,6000112,1,0,0,1,2,1,10
60001121,4,6000112,1,0,0,1,2,1,0
60001131,1,6000113,2,4,0,1,1,1,8
60001131,2,6000113,2,4,0,1,1,1,10
60001131,3,6000113,1,0,0,1,1,1,0
60001131,4,6000113,1,0,0,1,1,1,0
60001141,1,6000114,2,5,2,1,1,1,10
60001141,2,6000114,2,5,0,1,1,1,10
60001151,1,6000115,3,3,0,1,1,1,9
60001151,2,6000115,2,5,2,1,1,1,9
60001151,3,6000115,1,0,0,1,1,1,0
60001151,4,6000115,1,0,0,1,1,1,0
60001161,1,6000116,2,7,0,1,2,1,6
60001161,2,6000116,3,3,0,1,2,1,10
60001171,1,6000117,2,5,0,1,1,1,10
60001181,1,6000118,2,5,0,1,1,1,10
60001181,2,6000118,1,0,0,1,1,1,0
60001191,1,6000119,2,5,0,1,1,2,10
60001221,1,6000122,3,3,2,1,1,1,9
60001231,1,6000123,3,4,2,1,1,2,8
60001231,2,6000123,2,5,0,1,1,2,10
60001231,3,6000123,1,0,0,1,1,2,10
60001231,4,6000123,1,0,0,1,1,2,0
60001231,5,6000123,3,5,0,1,1,2,9
60001241,1,6000124,3,4,2,1,2,1,1
60001241,2,6000124,3,3,0,1,2,1,2
60001241,3,6000124,3,3,2,1,2,1,2
60001241,4,6000124,3,3,0,1,2,1,3
60001241,5,6000124,3,4,0,1,2,1,8
60001241,6,6000124,3,4,2,1,2,1,8
60001251,1,6000125,2,5,0,1,1,1,8
60001251,2,6000125,2,4,0,1,1,1,8
60001251,3,6000125,1,0,0,1,1,1,9
60001261,1,6000126,3,4,2,1,1,2,10
60001261,2,6000126,2,4,2,1,1,2,9
60001261,3,6000126,1,0,0,1,1,2,0
60001261,4,6000126,1,0,0,1,1,2,0
60001261,5,6000126,3,4,0,1,1,2,9
60001261,6,6000126,2,0,0,1,1,2,0
60001281,1,6000128,2,3,2,1,1,1,10
60001281,2,6000128,1,5,0,1,1,1,8
60001281,3,6000128,1,0,0,1,1,1,0
60001291,1,6000129,1,4,2,1,1,1,8
60001291,2,6000129,1,0,0,1,1,1,0
60001291,3,6000129,2,3,0,1,1,1,10
60001301,1,6000130,2,5,0,1,1,1,10
60001301,2,6000130,1,4,0,1,1,1,10
60001301,3,6000130,1,0,0,1,1,1,10
60001301,4,6000130,1,0,0,1,1,1,0
60001311,1,6000131,3,5,0,2,1,1,8
60001311,2,6000131,2,5,2,2,1,1,7
60001311,3,6000131,1,0,0,2,1,1,0
60001311,4,6000131,1,0,0,2,1,1,0
60001321,1,6000132,3,3,0,1,1,1,10
60001321,2,6000132,1,7,0,1,1,1,10
60001321,3,6000132,1,5,0,1,1,1,10
60001321,4,6000132,1,0,0,1,1,1,0
60001331,1,6000133,2,3,0,1,1,1,10
60001341,1,6000134,3,4,0,1,2,1,8
60001341,2,6000134,2,4,0,1,2,1,9
60001341,3,6000134,1,11,0,2,2,1,9
60001341,4,6000134,1,0,0,1,2,1,0
60001341,5,6000134,1,0,0,1,2,1,0
60001361,1,6000136,2,7,0,1,1,1,10
60001361,2,6000136,2,5,0,1,1,1,8
60001361,3,6000136,1,0,0,1,1,1,0
60001371,1,6000137,2,11,0,2,1,1,9
60001371,2,6000137,2,0,0,1,1,1,8
60001381,1,6000138,2,5,0,1,1,1,3
60001381,2,6000138,1,5,0,1,1,1,0
60001381,3,6000138,1,0,0,1,1,1,10
60001391,1,6000139,2,3,2,1,1,1,6
60001391,2,6000139,2,3,0,1,1,1,10
60001391,3,6000139,2,4,2,1,1,1,7
60001391,4,6000139,2,4,0,1,1,1,10
60001391,5,6000139,1,1,0,1,1,1,0
60001401,1,6000140,3,5,0,2,1,2,8
60001401,2,6000140,2,3,0,2,1,2,6
60001401,3,6000140,2,9,0,1,1,2,10
60001411,1,6000141,2,3,2,1,1,1,5
60001411,2,6000141,2,3,0,1,1,1,8
60001411,3,6000141,1,11,0,1,1,1,7
60001411,4,6000141,1,3,0,1,1,1,5
60001411,5,6000141,1,7,0,1,1,1,8
60001411,6,6000141,1,0,0,1,1,1,0
60001431,1,6000143,3,1,0,1,2,1,10
60001431,2,6000143,3,3,0,1,2,1,10
60001431,3,6000143,1,3,2,1,2,1,10
60001431,4,6000143,2,0,0,1,2,1,0
60001441,1,6000144,2,5,2,1,1,1,8
60001441,2,6000144,3,3,0,1,1,1,10
60001441,3,6000144,1,0,0,1,1,1,8
60001441,4,6000144,1,0,0,1,1,1,8
60001451,1,6000145,3,3,0,1,1,1,10
60001451,2,6000145,2,0,0,1,1,1,10
60001461,1,6000146,2,4,0,1,1,1,10
60001461,2,6000146,2,0,0,1,1,1,10
60001461,3,6000146,2,3,0,1,1,1,10
60001471,1,6000147,2,3,0,1,1,1,10
60001471,2,6000147,2,5,0,1,1,1,10
60001471,3,6000147,2,3,0,1,1,1,10
60001471,4,6000147,2,4,0,1,1,1,10
60001471,5,6000147,2,5,0,2,1,1,8
60001471,6,6000147,2,5,0,2,1,1,7
60001471,7,6000147,1,0,0,2,1,1,0
60001481,1,6000148,2,3,0,1,6,2,8
60001481,2,6000148,2,3,0,1,6,2,6
60001481,3,6000148,1,5,0,1,6,2,6
60001481,4,6000148,1,0,0,1,6,2,0
60001481,5,6000148,2,0,0,1,6,2,0
60001501,1,6000150,3,5,2,1,2,1,9
60001501,2,6000150,2,5,2,1,2,1,10
60001501,3,6000150,1,0,0,1,2,1,0
60001521,1,6000152,2,5,0,1,1,1,10
60001521,2,6000152,3,5,0,1,1,1,9
60001521,3,6000152,1,0,0,1,1,1,0
60001521,4,6000152,1,0,0,1,1,1,0
60001531,1,6000153,2,3,2,1,1,1,9
60001531,2,6000153,1,0,0,1,1,1,9
60001531,3,6000153,1,0,0,1,1,1,0
60001541,1,6000154,2,4,0,2,1,1,9
60001541,2,6000154,2,5,0,2,1,1,6
60001541,3,6000154,1,3,0,2,1,1,6
60001541,4,6000154,1,3,0,2,1,1,0
60001551,1,6000155,3,1,2,1,1,2,8
60001551,2,6000155,2,3,2,1,1,2,9
60001561,1,6000156,2,4,0,1,1,2,9
60001561,2,6000156,2,4,0,1,1,2,9
60001561,3,6000156,1,0,0,1,1,2,10
60001561,4,6000156,1,0,0,1,1,2,9
60001571,1,6000157,2,1,0,1,4,1,10
60001571,2,6000157,1,3,0,1,4,1,6
60001571,3,6000157,1,5,2,1,4,1,6
60001581,1,6000158,3,1,0,1,1,2,10
60001591,1,6000159,2,4,0,1,1,2,9
60001591,2,6000159,1,0,0,1,1,2,9
60001591,3,6000159,1,0,0,1,1,2,0
60001601,1,6000160,3,3,0,2,1,2,9
60001601,2,6000160,2,3,0,1,1,2,9
60001601,3,6000160,1,0,0,1,1,2,0
60001601,4,6000160,1,0,0,1,1,2,0
60001621,1,6000162,2,0,0,1,1,2,9
60001621,2,6000162,2,11,0,1,1,2,9
60001631,1,6000163,3,1,0,1,2,2,8
60001641,1,6000164,2,9,0,1,1,2,9
60001661,1,6000166,2,3,2,1,1,2,7
60001661,2,6000166,2,4,2,1,1,2,8
60001661,3,6000166,1,4,0,1,1,2,0
60001661,4,6000166,1,0,0,1,1,2,0
60001661,5,6000166,1,0,0,1,1,2,0
60001671,1,6000167,2,4,2,1,1,2,9
60001671,2,6000167,2,1,2,1,1,2,10
60001691,1,6000169,3,4,2,2,6,2,7
60001701,1,6000170,2,3,2,1,1,3,8
60001711,1,6000171,3,11,2,1,1,2,10
60001721,1,6000172,2,1,0,1,1,2,4
60001721,2,6000172,2,1,0,1,1,2,5
60001741,1,6000174,2,3,2,1,1,2,4
60001741,2,6000174,2,5,0,1,1,2,6
60001751,1,6000175,2,5,0,2,1,2,4
60001751,2,6000175,3,4,2,1,1,2,9
60001751,3,6000175,1,0,0,1,1,2,10
60001761,1,6000176,2,1,0,1,2,3,10
60001771,1,6000177,3,3,0,1,2,3,8
60001771,2,6000177,3,3,0,1,2,3,3
60001781,1,6000178,2,5,0,1,2,3,8
60001781,2,6000178,2,5,0,1,2,3,7
60001791,1,6000179,3,13,0,1,4,3,9
60001791,2,6000179,1,5,0,1,4,3,8
60001791,3,6000179,1,0,0,1,4,3,0
60001791,4,6000179,1,0,0,1,4,3,0
60001801,1,6000180,3,5,0,1,2,3,8
60001801,2,6000180,3,3,0,1,2,3,8
60001801,3,6000180,2,3,0,1,2,3,8
60001811,1,6000181,2,4,2,1,6,3,10
60001821,1,6000182,2,5,2,1,1,3,9
60001821,2,6000182,2,4,2,1,1,3,10
60001821,3,6000182,1,0,0,1,1,3,0
60001831,1,6000183,3,3,2,1,1,3,9
60001841,1,6000184,2,5,0,1,2,1,8
60001841,2,6000184,3,3,0,1,2,1,8
60001841,3,6000184,1,0,0,1,2,1,0
60001841,4,6000184,2,0,0,1,2,1,0
60001851,1,6000185,2,3,0,1,1,1,10
60001851,2,6000185,1,0,0,1,1,1,0
60001851,3,6000185,1,0,0,1,1,1,0
60001851,4,6000185,1,0,0,1,1,1,0
60001851,5,6000185,1,0,0,1,1,1,0
60001861,1,6000186,2,3,1,1,1,1,7
60001861,2,6000186,2,5,0,1,1,1,7
60001871,1,6000187,2,4,0,1,2,1,5
60001871,2,6000187,1,5,0,1,2,1,10
60001871,3,6000187,1,0,0,1,2,1,7
60001871,4,6000187,1,0,0,1,2,1,7
60001871,5,6000187,1,0,0,1,2,1,0
60001881,1,6000188,2,3,2,1,1,1,3
60001881,2,6000188,3,5,0,1,1,1,10
60001881,3,6000188,1,0,0,1,1,1,0
60001881,4,6000188,1,0,0,1,1,1,0
60001881,5,6000188,1,0,0,1,1,1,0
60001881,6,6000188,3,4,2,1,1,1,6
60001881,7,6000188,3,0,0,1,1,1,8
60001891,1,6000189,3,4,2,1,1,1,10
60001891,2,6000189,2,3,0,1,1,1,10
60001891,3,6000189,1,0,0,1,1,1,8
60001891,4,6000189,1,0,0,1,1,1,0
60001901,1,6000190,3,1,0,1,6,1,5
60001911,1,6000191,3,1,0,1,1,1,8
60001911,2,6000191,2,5,0,1,1,1,10
60001911,3,6000191,1,0,0,1,1,1,0
60001921,1,6000192,3,3,0,1,2,1,8
60001921,2,6000192,1,3,2,1,2,1,7
60001921,3,6000192,1,3,0,1,2,1,7
60001921,4,6000192,2,4,2,1,2,1,7
60001921,5,6000192,1,0,0,1,2,1,0
60001921,6,6000192,1,0,0,1,2,1,0
60001921,7,6000192,1,0,0,2,2,1,0
60001921,8,6000192,1,0,0,2,2,1,0
60001931,1,6000193,3,3,2,1,1,1,10
60001931,2,6000193,3,5,2,1,1,1,8
60001931,3,6000193,1,0,0,1,1,1,0
